"Date","Hour","Active followers"
"2022-11-18","1","4560"
"2022-11-18","2","3666"
"2022-11-18","3","2892"
"2022-11-18","4","2314"
"2022-11-18","5","1943"
"2022-11-18","6","1985"
"2022-11-18","7","2554"
"2022-11-18","8","3439"
"2022-11-18","9","3848"
"2022-11-18","10","4261"
"2022-11-18","11","4745"
"2022-11-18","12","5025"
"2022-11-18","13","5068"
"2022-11-18","14","5091"
"2022-11-18","15","5368"
"2022-11-18","16","5758"
"2022-11-18","17","5997"
"2022-11-18","18","6093"
"2022-11-18","19","5964"
"2022-11-18","20","5639"
"2022-11-18","21","5400"
"2022-11-18","22","5427"
"2022-11-18","23","5253"
"2022-11-18","24","4992"
"2022-11-19","1","4499"
"2022-11-19","2","3812"
"2022-11-19","3","3136"
"2022-11-19","4","2741"
"2022-11-19","5","2393"
"2022-11-19","6","2266"
"2022-11-19","7","2358"
"2022-11-19","8","2758"
"2022-11-19","9","3370"
"2022-11-19","10","4222"
"2022-11-19","11","4935"
"2022-11-19","12","5544"
"2022-11-19","13","5812"
"2022-11-19","14","5860"
"2022-11-19","15","5869"
"2022-11-19","16","5882"
"2022-11-19","17","5879"
"2022-11-19","18","5965"
"2022-11-19","19","5841"
"2022-11-19","20","5580"
"2022-11-19","21","5416"
"2022-11-19","22","5338"
"2022-11-19","23","5281"
"2022-11-19","24","5121"
"2022-11-20","1","4653"
"2022-11-20","2","4031"
"2022-11-20","3","3376"
"2022-11-20","4","2877"
"2022-11-20","5","2558"
"2022-11-20","6","2410"
"2022-11-20","7","2403"
"2022-11-20","8","2702"
"2022-11-20","9","3322"
"2022-11-20","10","4146"
"2022-11-20","11","4938"
"2022-11-20","12","5563"
"2022-11-20","13","5976"
"2022-11-20","14","6131"
"2022-11-20","15","6261"
"2022-11-20","16","6356"
"2022-11-20","17","6409"
"2022-11-20","18","6287"
"2022-11-20","19","6066"
"2022-11-20","20","5979"
"2022-11-20","21","5834"
"2022-11-20","22","5670"
"2022-11-20","23","5533"
"2022-11-20","24","5365"
"2022-11-21","1","4812"
"2022-11-21","2","4015"
"2022-11-21","3","3284"
"2022-11-21","4","2703"
"2022-11-21","5","2190"
"2022-11-21","6","2078"
"2022-11-21","7","2471"
"2022-11-21","8","2991"
"2022-11-21","9","3384"
"2022-11-21","10","3972"
"2022-11-21","11","4485"
"2022-11-21","12","5076"
"2022-11-21","13","5354"
"2022-11-21","14","5632"
"2022-11-21","15","5776"
"2022-11-21","16","6148"
"2022-11-21","17","6372"
"2022-11-21","18","6407"
"2022-11-21","19","6140"
"2022-11-21","20","5911"
"2022-11-21","21","5862"
"2022-11-21","22","5836"
"2022-11-21","23","5682"
"2022-11-21","24","5289"
"2022-11-22","1","4630"
"2022-11-22","2","3958"
"2022-11-22","3","3270"
"2022-11-22","4","2620"
"2022-11-22","5","2140"
"2022-11-22","6","2092"
"2022-11-22","7","2454"
"2022-11-22","8","3101"
"2022-11-22","9","3494"
"2022-11-22","10","3988"
"2022-11-22","11","4586"
"2022-11-22","12","5151"
"2022-11-22","13","5464"
"2022-11-22","14","5661"
"2022-11-22","15","5857"
"2022-11-22","16","6170"
"2022-11-22","17","6392"
"2022-11-22","18","6285"
"2022-11-22","19","6192"
"2022-11-22","20","5873"
"2022-11-22","21","5780"
"2022-11-22","22","5684"
"2022-11-22","23","5656"
"2022-11-22","24","5327"
"2022-11-23","1","4884"
"2022-11-23","2","4134"
"2022-11-23","3","3453"
"2022-11-23","4","2840"
"2022-11-23","5","2245"
"2022-11-23","6","2074"
"2022-11-23","7","2219"
"2022-11-23","8","2685"
"2022-11-23","9","3411"
"2022-11-23","10","4069"
"2022-11-23","11","4894"
"2022-11-23","12","5501"
"2022-11-23","13","5887"
"2022-11-23","14","6059"
"2022-11-23","15","6033"
"2022-11-23","16","6247"
"2022-11-23","17","6274"
"2022-11-23","18","6286"
"2022-11-23","19","5971"
"2022-11-23","20","5630"
"2022-11-23","21","5509"
"2022-11-23","22","5422"
"2022-11-23","23","5495"
"2022-11-23","24","5386"
"2022-11-24","1","4983"
"2022-11-24","2","4433"
"2022-11-24","3","3655"
"2022-11-24","4","2893"
"2022-11-24","5","2372"
"2022-11-24","6","2104"
"2022-11-24","7","2006"
"2022-11-24","8","2421"
"2022-11-24","9","3124"
"2022-11-24","10","3847"
"2022-11-24","11","4881"
"2022-11-24","12","5694"
"2022-11-24","13","5949"
"2022-11-24","14","6018"
"2022-11-24","15","5922"
"2022-11-24","16","6061"
"2022-11-24","17","6049"
"2022-11-24","18","6041"
"2022-11-24","19","5846"
"2022-11-24","20","5716"
"2022-11-24","21","5643"
"2022-11-24","22","5621"
"2022-11-24","23","5563"
"2022-11-24","24","5464"
"2022-11-25","1","4891"
"2022-11-25","2","4221"
"2022-11-25","3","3522"
"2022-11-25","4","2872"
"2022-11-25","5","2303"
"2022-11-25","6","2090"
"2022-11-25","7","2156"
"2022-11-25","8","2373"
"2022-11-25","9","3024"
"2022-11-25","10","3818"
"2022-11-25","11","4626"
"2022-11-25","12","5338"
"2022-11-25","13","5733"
"2022-11-25","14","5809"
"2022-11-25","15","5777"
"2022-11-25","16","5841"
"2022-11-25","17","6086"
"2022-11-25","18","6121"
"2022-11-25","19","5909"
"2022-11-25","20","5693"
"2022-11-25","21","5451"
"2022-11-25","22","5313"
"2022-11-25","23","5378"
"2022-11-25","24","5316"